name,trans
プロデューサー,制作人
はづき,叶月
社長,社长
審査員,审查员
カフェの店員,咖啡店店员
八雲なみ,八云菜实
一同,众人
白うさぎ,白兔
ジュリ,树里
カホ,果穗
チヨコ,智代子
リンゼ,凛世
ナツハ,夏叶
ナレーション,解说
女生徒,女学生
スタッフ,工作人员
女性スタッフ,女性工作人员
観客,观众
コーチ,教练
トレーナー,训练员
雑誌のゲラ,杂志的校样
番組予告,节目预告
アーティスト,歌手
配信者,主播
会社員,公司职工
舞台監督,舞台监督
振付,编舞
動画サイト,视频网站
ツイスタ,Twista
テレビの音声,电视的声音
番組ディレクター,节目导演
ヘアメイク,发型师
配信の音声,节目的声音
ドラマの監督,电视剧监督
ドラマのディレクター,电视剧导演
ドラマのスタッフ,电视剧工作人员
SNSの書き込み,SNS上的发言
ものまね,模仿秀
司会者,主持人
愛依のツイスタ,爱依的Twista
愛依の母,爱依的妈妈
愛依の妹＆弟,爱依的妹妹＆弟弟
愛依の弟,爱依的弟弟
愛依の妹,爱依的妹妹
愛依の友人,爱依的朋友
円香の母,圆香的妈妈
円香の父,圆香的爸爸
雛菜の父,雏菜的爸爸
雛菜の母,雏菜的妈妈
果穂の母,果穗的妈妈
果穂の父,果穗的爸爸
透の母,透的妈妈
小糸の妹,小糸的妹妹
小糸の母,小糸的妈妈
冬優子の母,冬优子的妈妈
冬優子の友人,冬优子的朋友
透の叔母,透的叔母
コンビニ店員,便利店店员
アイドル,偶像
出場者一同,在场众人
カメラマン,摄影师
女子高生,女高中生
テレビの声,电视机的声音
コメンテーター,评论员
フロアスタッフ,店员
ある現場の録音技師,某个工作室的录音师
ダンストレーナー,舞蹈教练
レコードのタイトル,唱片的标题
ななみ,菜菜实
ななみ？,菜菜实？
ルカ,路加
スタイリスト,造型师
ディレクター,导演
クリーニング店店長,洗衣店老板
書店店主,书店老板
社員,职员
ゲスト,嘉宾
司会,主持人
店員,店员
バーテンダー,酒保
レッスン場スタッフ,练习室的工作人员
キャロル隊,圣歌队
めぐるの友達,巡的朋友
おばちゃん,阿姨
役人,官员
フロアマネージャー,楼层经理
フロアの先輩,店里的前辈
にちか＆先輩,日花＆店里的前辈
女の子,女孩
クラスメイト,同学
先生,老师
男子生徒,男学生
女子生徒,女学生
監督,导演
女子生徒,女学生
教師,教师
委員長,委员长
ダンス講師,舞蹈讲师
番組スポンサー,节目资助者
映像ディレクター,影像导演
取引先のカメラマン,摄影师
ラジオMC,广播主持人
スポンサー,资助者
クラスメイト,同学
姉,姐
オウム,鹦鹉
ニュース番組リポーター,新闻节目记者
映画の音声,电影的声音
近所の住民,邻居
近所の家族,邻居
船長,船长
AB船員,水手
ボーイ,boy
スマホ画面,手机画面
プロデューサーの文面,制作人
アイドルのツイスタ,偶像的Twista
階下の声,楼下的声音
親戚の子,亲戚孩子
善村記者,善村记者
書店員,书店店员
浅倉家から聞こえる声,浅仓家传来的声音
中堅アイドルグループ,中坚偶像组合
控室のアイドルたち,休息室里的偶像们
拡声器のアナウンス,广播
善村とプロデューサー,善村与制作人
AD,助理导演
番組スタッフ,节目工作人员
バラエティ司会者,综艺节目主持人
芸人,艺人
駆け出しモデル,新人模特
甘奈おばあちゃん,甘奈婆婆
ファンレター,粉丝来信
無線連絡,无线联络
テロップ,屏幕文字
音声案内,提示音
父親,父亲
スーパーの店員,超市店员
はづきの同僚店員,叶月的同事
ラジオの音,广播的声音
放クラ一同,放课后众人
お笑い,搞笑艺人
バイト先の先輩,打工地点的前辈
番組スタッフたち,节目组工作人员
番組アナウンサー,节目播音员
番組MC,节目主持人
メイクスタッフ,化妆人员
アイドルグループ,偶像组合
多人数の息,多人的喘息
ダンサー,舞蹈演员
ダンサーたち,舞蹈演员们
知人ダンサー,认识的舞蹈演员
子ども,小孩
知人男性,认识的男性
知人女性,认识的女性
ライブハウス受付,Live House前台
ライブハウスの客,Live House的客人
ライブハウスの客たち,Live House的客人们
テレビのニュース,电视新闻
ピアノ生徒の保護者,钢琴学生的监护人
ピアノ生徒,钢琴学生
広告マン,广告代理
現場監督,现场总监
帰路のタクシー運転手,回家路上的出租车司机
芸能記事,娱乐新闻
現場スタッフ数名,数名现场工作人员
スポンサー企業,赞助商
企画ディレクター,企划总监
打ち上げの一同,庆功会的众人
その場の一同,现场的众人
Ａチームダンサー,Ａ队的舞蹈演员
ダンサー側スタッフ,舞蹈演员方的工作人员
タクシー運転手,出租车司机
霧ちゃん,小雾
担当プランナー,担当策划者
ボイストレーナー,声乐教练
開発メンバー,开发成员
数学教師,数学老师
投稿コメント,弹幕
ラジオパーソナリティ,广播节目主持人
広告会社ディレクター,广告公司导演
広告Ｄ＆プロデューサー,广告公司导演＆制作人
