id,name,text,trans
0000000000000,プロデューサー,────……,────……
0000000000000,スーパー店員,飲料が１点────,饮料1份────
0000000000000,プロデューサー,……,……
2024008020010,にちか,お疲れ様でしたー！,大家辛苦了！
0000000000000,現場スタッフ１,お疲れ様ー！\nイイ感じよー,你也辛苦了！\n做得很棒哦
2024008020020,にちか,えー！　ほんとですかー,诶！　真的吗
0000000000000,現場スタッフ２,ほんとほんと。でも結構巻いちゃったね？\nお迎え、待っちゃうかな,真的真的。不过比预定时间提前结束了呢？\n要等人来接你吗
2024008020030,にちか,あっ、大丈夫だと思いますー\nたぶんもうそろそろ────,嗯，没关系的\n应该差不多要到了吧────
0000000000000,スーパー店員,総菜が２点────,便当2份────
0000000000000,にちか,なんで入ってきたんです,你为什么要闯进来
0000000000000,プロデューサー,……あっ,……啊
0000000000000,プロデューサー,あの、すみません……！,那个，不好意思……！
0000000000000,プロデューサー,１個、あそこのやつ足していいですか……！\nすみません、また並びます……！,我想再加1份那个……！\n真的很抱歉，我会重新排队的……！
0000000000000,スーパー店員,……えっ\nあっ、お客様────,……诶\n这位客人────
2024008020050,にちか,たぶんもうそろそろ着くのかなーって感じだし,一般差不多这个时候就该到了
2024008020060,にちか,次、現場わりとすぐなので\nごはん食べる時間できてラッキーです！,下一份工作时间上排得很近\n现在还能抽空吃个饭不要太幸运！
0000000000000,現場スタッフ２,あ、そう？\nそれならいいんだけど,啊，是吗？\n那是挺好的
0000000000000,現場スタッフ１,えっ、七草ちゃんお腹減っちゃってるの～？\nあっちお弁当余ってるんだけど、いっとく？,诶，七草妹妹饿不饿～？\n那边还有很多便当呢，要吃吗？
2024008020070,にちか,えーっ\nやばーい！　何系ありますー？,诶\n好厉害！　都有什么样的？
0000000000000,ディレクター,あははっ\nあっちのは豪華だよー,啊哈哈\n那可豪华了
0000000000000,スーパー店員,お客様……！　あの、大丈夫ですよー？\n商品お預かりしてますから、どうぞ慌てずに────,这位客人……！　没关系的哦？\n您的东西可以先放在这里，请慢慢挑选────
0000000000000,プロデューサー,あぁ……！,哦哦……！
0000000000000,プロデューサー,ごめんなさい、助かります……！,不好意思啊，真的帮大忙了……！
0000000000000,プロデューサー,────えーと、低糖質のやつがよかったよな……,────嗯，还是选个低碳水的吧……
2024008020080,にちか,あっ、ナッツとマンゴーのサラダ……！\nめっっちゃめちゃSNSで見るやつ！！,啊，坚果芒果沙拉……！\n是在网上刷到过好多好多次的那款！！
0000000000000,現場スタッフ１,そうそう。お肉は鴨かな\nいいでしょー,对对。还有鸭肉呢\n很棒吧
2024008020090,にちか,わー、えっ\nこれスムージーももらっちゃえる感じですかねー！？,哇，诶\n这个奶昔我也可以拿吗！？
0000000000000,プロデューサー,────すみません、お待たせして……！\nこれでお願いします,────抱歉，让你等这么久……！\n就这些吧
0000000000000,スーパー店員,いいえー。そうしましたら、こちらのお惣菜とスムージーに\nパンが１点加わりまして、お会計が────,好的。这边给您结账，您购买的便当和奶昔\n加1份面包，价格总计────
2024008020100,にちか,いただきますー\n────ん……,我开动了\n────咕……
0000000000000,現場スタッフ１,じゃさ、ここずっと使ってもらっててだいじょぶだから\nまたねー,那，就在这随意挑你想要的吧\n我先走啦
2024008020110,にちか,……んっ\nはいー！　お疲れ様でしたー,……嗯\n好！　麻烦你了
2024008020120,にちか,…………んー\n思ったより微妙ー……少っくな,…………唔\n吃起来有些一言难尽……份量还少
2024008020130,にちか,パッケージおしゃれなだけのやつじゃん,空有颜值的网红食品罢了
2024008020140,にちか,……\nパン食べたいなー……,……\n好想吃面包啊……
2024008020150,にちか,────えっ,────诶
0000000000000,プロデューサー,……あ、それ。メシ\n車で食べるかなって思ってさ,……嗯，里面是吃的。\n想着能让你在车上这段时间吃个饭
0000000000000,プロデューサー,食べられそうなもの買って────,所以就买了这些────
2024008020160,にちか,えー！　こんなの買ってくるならもっと早く\n迎えきてくれたらよかったじゃないですかー,诶！　有这时间去买东西\n你还不如早点来接我好了
0000000000000,プロデューサー,……,……
2024008020170,にちか,はぁー……\n収録巻いたからお弁当もらって食べちゃったんですよねー,唔……\n因为收录提前结束，我已经在那吃过便当了
0000000000000,プロデューサー,えっ、そうだったのか……！\nそれは……,诶，是这样吗……！\n这可真是……
2024008020180,にちか,しかもサラダかー。サラダだったんですよ、もらったの\nめっっちゃめちゃ人気店のやつでスムージーもついてて──,偏偏你还买了沙拉。好巧不巧我刚才吃的就是沙拉\n还是超级超级受欢迎的店做的那款，搭配奶昔──
0000000000000,プロデューサー,ああ……,哦哦……
2024008020190,にちか,────うーわ、スムージーもかぶってるー,────呜哇，你也买了奶昔
0000000000000,プロデューサー,……すまん\n連絡入れればよかったな,……对不起\n我应该事先联系你的
0000000000000,にちか,なんで入ってきたんです,你为什么要闯进来
0000000000000,プロデューサー,────\nなんでだろうな,────\n为什么呢
0000000000000,プロデューサー,勝手に戸を開けて\n余計なことばかりして,擅自闯进房门\n净做无用之事
2024008020210,にちか,……あ、パン────,……啊，面包────
0000000000000,プロデューサー,────……はは、悪い悪い,────……啊啊，抱歉抱歉
select,,にちかのお腹が\nいっぱいなら……,既然日花\n已经吃饱了
select,,俺が食べるよ,我来吃掉吧
select,,そんなに\nかぶっちゃったか,重样的\n有那么多吗
0000000000000,プロデューサー,にちかのお腹がいっぱいで……\n美味しいもの食べてくれたんなら、いいんだ,既然日花已经吃饱了……\n还吃了很多好吃的东西，那就足够了
2024008020220,にちか,────なんなんです……なんか\nなんか、私が悪いみたいな────,────你说什么……怎么\n怎么，说得像是我有错一样────
0000000000000,プロデューサー,こんな顔をさせて,让她露出了这种表情
0000000000000,プロデューサー,悪いのは俺だよ、確認不足なんだから\n……置いといて、少し眠るといい,有错的是我，没有事先跟你确认\n……把食物放一边，稍微睡会吧
2024008020230,にちか,……っ──────,……唔──────
2024008020240,にちか,……っ\nえ、べつにパンは────,……啊\n呃，其实面包────
2024008020250,にちか,──────……,──────……
0000000000000,プロデューサー,少しでも笑顔になってもらえないかって,我只是想让她开心起来
0000000000000,プロデューサー,それだけなのに,仅此而已
2024008020260,にちか,…………ですね\n無駄になるのでお願いしますー,…………也是\n还请不要浪费食物
0000000000000,プロデューサー,……センスないよな\nすまん。パンも持って帰るよ,……我真是一点选菜天赋都没有\n对不起。面包我之后也带回去吧
