id,name,text,trans
0000000000000,プロデューサー,──ルカ,──路加
0000000000000,プロデューサー,レッスン室の鍵だよな？\nお疲れ様,那是练习室的钥匙对吧？\n辛苦了
4001074020010,ルカ,…………,…………
4001074020020,ルカ,────,────
4001074020030,羽那,えーっ\nそうなんだー,诶，是那样啊—
4001074020040,はるき,ふふ～……！,呵呵～……！
0000000000000,プロデューサー,羽那の番組だよ\n『鈴木の部屋』っていうんだ,是羽那的节目哦\n叫『铃木的房间』
0000000000000,プロデューサー,隔週更新でさ、今日が初回なんだよ\nゲストははるき,每周都会更新，今天是首播\n嘉宾是阳希
4001074020050,ルカ,……聞いてねェ,……没问你
0000000000000,プロデューサー,はは、うん,哈哈，嗯
0000000000000,プロデューサー,……あ、番組っていっても動画サイトにアップされるもので\nこれは動画をテレビで見てて──,……啊，虽说是节目但也会上传到视频网站\n这个是用电视在看视频—
4001074020060,ルカ,聞いてねェって,都说了没问你
0000000000000,プロデューサー,はは……すまん,哈哈……抱歉
4001074020061,羽那＆はるき,ふふっ──！,呵呵──！
4001074020070,羽那,はぁ、面白いーっ,哈，真有趣——
4001074020080,はるき,ね～……！,对啊～……！
4001074020090,はるき,でも……『鈴木の部屋』\nこれで大丈夫なのかなぁ,不过……『铃木的房间』\n就这样真的没问题吗
4001074020100,羽那,……？,……？
4001074020110,はるき,なんだか、ただただ\nいつもの会話をしてるだけだなぁって……！,总感觉，\n跟我们平时聊的话没什么区别……！
4001074020120,ルカ,……────,……────
0000000000000,プロデューサー,そうだ\n羽那、ゲストに呼べる人を探してたぞ,对了\n羽那正在找能当嘉宾的人哦
0000000000000,プロデューサー,ルカ、出てみないか？,路加，要不要上去试试？
4001074020130,ルカ,…………本気で言ってんのかよ,…………你是认真的吗
4001074020140,はるき,『よかったねぇ、『鈴木の部屋』……！』,『太好了呢，‘铃木的房间’……！』
4001074020150,羽那,うんっ,嗯
4001074020160,はるき,『わたしたちのいつもの感じが、テロップとか\n編集であんなに面白くなるなんて……』,『我们平时的互动，在经过字幕处理和剪辑编排之后\n竟然能变得这么有趣……』
4001074020170,はるき,『スタッフさんたちってすごいねぇ』,『工作人员们真的好厉害呢』
4001074020180,羽那,あはっ、はるきちゃん勉強熱心──！,哈哈，阳希真是好学——！
4001074020190,はるき,『ええ……！\nそんなことないけどなぁ』,『诶……！\n没有那种事啦』
4001074020200,はるき,『あっ、あと再生数もいい感じだし\n動画にもコメントもたくさん来てるね』,『啊，播放量也很可观\n视频底下也有好多留言呢』
4001074020210,羽那,えーっ、そうなんだ,诶，是那样吗
4001074020220,はるき,『これからもがんばってね、\n『鈴木の部屋』……！』,『今后也要加油哦，\n‘铃木的房间’……！』
4001074020230,羽那,うんっ,嗯
4001074020240,羽那,…………,…………
4001074020250,はるき,『……羽那ちゃん？』,『……羽那？』
4001074020260,羽那,──あ、ごめんね\nちょっと考えてたの,──啊，不好意思\n刚刚在想事情
4001074020270,羽那,毎回はるきちゃんがゲストに来てくれるわけじゃ\nないんだよなーって,不是每次都能让阳希来做嘉宾的呢
4001074020280,羽那,あはっ、なんか急に不安になってきたーっ,哈哈，突然就感到不安了
4001074020290,はるき,『ふふ、羽那ちゃんなら大丈夫だよ～』,『嘿嘿，羽那的话没问题的哦～』
4001074020300,はるき,『それにわたしは、羽那ちゃんと\nいろんな人のトーク、見てみたいなぁ』,『而且我也想看看，\n羽那和不同的人聊天的样子』
4001074020310,羽那,そっかー\nいろんな人……,是嘛\n不同的人……
4001074020320,羽那,ルカちゃんも、ゲストに呼んでみようかな？,也把路加请来做嘉宾试试看吧？
4001074020330,はるき,『……！』,『……！』
4001074020340,はるき,『いいと思う！\n……来てくれたらいいよねぇ～』,『我觉得挺好的！\n……如果能来就好了～』
4001074020350,羽那,ねーっ,对啊
0000000000000,プロデューサー,──うん、わかった,—嗯，我知道了
0000000000000,プロデューサー,わざわざ電話、ありがとうな\n美琴の気持ちを直接聞けてよかったよ,谢谢你特意打电话过来\n能直接了解到美琴的意愿真是太好了
0000000000000,プロデューサー,それで──\nその,所以说——\n那个
0000000000000,プロデューサー,……問題はない、ってことで\nいいんだよな……？,……就是说没问题了\n的意思吧…？
0000000000000,プロデューサー,はは……！\nいや、問題ないならそれでいいんだ,哈哈……！\n不，没问题的话就好
0000000000000,プロデューサー,俺の考えすぎだったみたいだ,看来是我想太多了
0000000000000,プロデューサー,ああ。それじゃあ、詳細はまた\nグループメッセの方で連絡するから,好的。那具体细节\n我会在群组消息里再通知
0000000000000,プロデューサー,──あ、そうだ。ステージの予定も増えたし\n気合いが入るかもしれないけど……,──啊，对了。上台的安排也变多了\n说不定你会更有干劲吧……
0000000000000,プロデューサー,くれぐれも追い込みのレッスンはほどほどに\n無理はしないようにな,但请务必不要过度练习\n别太勉强自己
0000000000000,プロデューサー,……耳にタコかもしれないけど,……虽然可能都要听腻了
0000000000000,プロデューサー,はは……うん,哈哈……嗯
0000000000000,プロデューサー,ありがとう\nそれじゃあ、お疲れ様,谢谢\n那就先这样，辛苦了
0000000000000,プロデューサー,…………,…………
0000000000000,プロデューサー,（──もう遅いし、先方にはメールを入れておくか）,（──都这么晚了，就先给对方回个邮件吧）
0000000000000,プロデューサー,（それと────）,（然后────）
0000000000000,プロデューサー,（ルカにはきっと、直接伝えた方がいいよな）,（肯定，还是直接告诉路加比较好吧）
info,game_event_communications/400107402.json,,
译者,AI初翻（gpt-4o）+奥術心白重译,,
