id,name,text,trans
4901700140010,結華,はー……\nあったまる～……！,哈——……\n暖和起来了～……！\n
0000000000000,プロデューサー,ありがとな、ドリンクチケット分けてくれて,谢谢了啊，把饮品券分给我\n
4901700140020,結華,どういたしまして！\n期限今日までだったし、こっちも助かっちゃったよ,不用客气！\n反正期限是到今天截止，所以该说是你这边帮大忙了呢\n
4901700140030,結華,Ｐたん巻き込めてラッキー,能把Pたん牵扯进来真是Lucky——\n
4901700140040,結華,──あ、ちなみにこの件、\nアンティーカのみんなには内緒ね？,——啊，顺便这件事\n要对L'Antica的大家保密哦？\n
0000000000000,プロデューサー,なるほど、共犯にされたってことか,原来如此，是要让我成为共犯啊\n
4901700140050,結華,何共犯ってー、人聞きが悪いなぁ\n特別扱いしてるんですけど？,说什么共犯，真是不中听呢\n明明是特别把你捡进来一起的？\n
0000000000000,プロデューサー,そうか……？　チケットの枚数的に\nみんなが誘えなかったから、ってことじゃ──,是这样吗……？ 从券的枚数来说\n难道不是因为没法把大家都邀请来，才退而求其次——\n
4901700140060,結華,えーっ、心外～！,唉、心寒～！\n
4901700140070,結華,誰に声かけるか考えたとき\n真っ先に浮かんだのに,明明是在想要叫谁才好的时候\n率先想到你才对\n
4901700140080,結華,日々戦うＰたんを癒せたらって思っての\nお誘いだったのに,想要治愈一下每日艰苦奋战的Pたん\n于是对你发出邀请\n
0000000000000,プロデューサー,すまんすまん\nちょっとからかってみたくて,抱歉抱歉\n只是想稍微开个玩笑捉弄一下你\n
4901700140090,結華,大丈夫でーす、知ってまーす,没关系的——哦，我知道的——哦\n
0000000000000,プロデューサー,はは、そんなにわかりやすいか,哈哈，有这么显而易见吗\n
4901700140100,結華,そりゃあそうでしょう\nそれなりの時間、一緒にいますから？,这个确实是嘛\n毕竟这么长时间，都一起共事的啦？\n
4901700140110,結華,三峰がアイドルとして頑張れているのはー、\nＰたんのおかげなのでー,三峰我能作为偶像而努力奋进——\n都是多亏了Pたん的嘛——\n
4901700140120,結華,クリスマスにかこつけて\n何かできたらって思って,正好在圣诞节期间\n想着能为你做些什么就好了\n
4901700140130,結華,あはは、ちょっと照れくさいけど\nそういう感じ,啊哈哈，这么说着就有点害羞了啊\n反正就是这样\n
4901700140140,結華,師走ってだけあって、まだまだ忙しいけどさ\nこの一杯分は一緒にのんびりしよってことで！,正值十二月年末忙季，虽然还有一堆事要处理\n但一起分享这一杯的时候稍微悠闲一下也不错吧！\n
info,special_communications/490170014.json,,
译者,,,
