id,name,text,trans
0000000000000,プロデューサー,めぐる、メイドカフェのオンエアってもう見たか？,巡，那个女仆咖啡厅的节目已经播出了\n你看了吗？
2003013110010,めぐる,録画はしたんだけど、まだ見れてない……！,虽然录下来了，但是还没有看
2003013110020,めぐる,オンエアで何かあったの？,播出后出现了什么状况了吗？
0000000000000,プロデューサー,いや、録画があるから\nここで見てもいいぞって話だ,不是，想和你说事务所也有录像\n在这里看也没问题哦
2003013110030,めぐる,やったー！　見る見る！,太好了！我要看我要看！
2003013110040,めぐる,そういえば、プロデューサーはもう見たの？,话说回来，制作人已经看过了吗？
0000000000000,プロデューサー,見たぞ、いいところ使ってもらえてた,看了哦，表现得好的片段都有用上了
2003013110050,めぐる,ほんとー！　楽しみだなぁ！,真的吗！真的非常期待呢！
2003013110060,めぐる,面白かったー！\n結局最初から最後までしっかり見ちゃったよ,真有趣啊！终究还是认真地从最开始的地方看到最后了
2003013110070,めぐる,わたしがやったみたいな企画、\n他の人もやってたんだね,我这次参加企划，别人也做过类似的呢
2003013110080,めぐる,遊園地のきぐるみでドッキリとか\nちびっこに大人気で楽しそうだったなー！,比如说在游乐园里成为人偶演员\n非常受小孩子欢迎，看起来很有趣
0000000000000,プロデューサー,自分のところの感想は？　どうだった？,关于你自己那部分的感想呢？感觉如何？
2003013110090,めぐる,プロデューサーが言ってたとおり、\nいいところだけ使ってもらっちゃった感じだったね！,就如制作人所说，\n只采用了表现好的片段的感觉
2003013110100,めぐる,なんだっけ……\n誇大広告？　みたいな？,怎么说呢……\n夸大广告？的样子？
0000000000000,プロデューサー,独特な言い回しだな……？,说了个非常独特的词语呢……？
2003013110110,めぐる,語彙力……！,我词汇能力……！
2003013110120,めぐる,なんて言ったらいいのかな……,怎么说才好呢……
2003013110130,めぐる,やっぱり、たった１日研修したくらいじゃ\n全然他のメイドさんみたいにはなれなかったし,果然通过仅仅一天的培训，完全做不到和其他女仆表现得一样好
2003013110140,めぐる,収録中色々失敗もしたのに\n編集でばりばりできるよー！　みたいな感じになってて──,收录中也出现了很多失败的地方\n通过剪辑就变成了，能顺畅地完成工作哦！这样的感觉
2003013110150,めぐる,えへへ……\nやっぱり誇大広告,诶嘿嘿……\n果然还是夸大广告
2003013110160,めぐる,テレビに出てるわたしって\nほんとのわたしとはちょっと違うっていうか,在电视中出现的我和真正的我还是有点不同
2003013110170,めぐる,不思議だなーって見ちゃうんだ,会带有不可思议的感觉去看
2003013110180,めぐる,あっ、今回のお仕事だけの話じゃないよ？\nずっとそう！,啊，不只是指这次的工作，\n一直都有这样的感觉
2003013110190,めぐる,ちょっとびっくりするの\n『芸能人みたい！』って,有点吃惊地看着自己\n“跟艺人一样！”
2003013110200,めぐる,きっとだけど、これからもずっと感じ続けるんだと思うなー,我想，在以后也会不断地产生这种感觉吧
2003013110210,めぐる,真乃と灯織と一緒にいることとか、\nこうしてプロデューサーと一緒にいることとか,但与真乃和灯织一起\n或者像这样和制作人在一起
2003013110220,めぐる,わたしの中ではもう生活の一部って感じで\n特別なことじゃなくなってるんだけど,在我心目中已经成为生活的一部分了\n已经失去了那种特别的感觉
0000000000000,プロデューサー,……うん,嗯
2003013110230,めぐる,こうやってテレビの中に自分がいるのを見ると\nわたしも『テレビに出てる人』なんだよね,像这样看着在电视中出镜的自己的话\n就会觉得我也是“上了电视的人”呢
0000000000000,プロデューサー,そうだな,说的没错
2003013110240,めぐる,何も知らないお客さんからしたら、\nわたしはお店のメイドさんだから──,在什么都不知情的顾客眼中\n我就只是店里的女仆
2003013110250,めぐる,１日しか研修してないからとか\n本業じゃないからとか、そういうの理由にしたくなくて,不想以只培训了1日，不是本职工作之类的作为辩解理由
2003013110260,めぐる,それに、中途半端って\n他のメイドさんに対しても失礼になるし……って,而且，半吊子工作的话\n对于其他女仆也是非常失礼的……
2003013110270,めぐる,思ってたんだけど\nちょっと間違えちゃってたなって,我是这样想的\n但好像也有点不对
0000000000000,プロデューサー,めぐるが色々考えてやったことだから\n間違いだとは思わないよ,巡在深思熟虑之后做的事情\n我认为你没有做错哦
0000000000000,プロデューサー,それに、それはすごく大事な感覚なんじゃないかな\nなくしちゃダメなやつだって俺は思う,而且我认为，这是十分重要的感觉哦\n如果失去的话就会让人觉得这家伙不行了呢
2003013110280,めぐる,そっか\n……うん、なくさないようにする,对喔\n……嗯，我会努力不让这种感觉丢失
2003013110290,めぐる,でも……でもね\nやっぱり、それだけじゃダメだったんだなぁって,但是……但是呢\n果然，只是做到这一点还是不够的
2003013110300,めぐる,収録の時ね\nちゃんとメイドさんになることばっかりで……,在收录时，\n就一心想着要好好地成为女仆……
2003013110310,めぐる,テレビのこと意識できてなくて、\nそれってほんとはダメなんだよーって……！,没有意识到要上电视的事情\n但实际上这是不行的……！
2003013110320,めぐる,他の企画に出てる人たちを見てて思いました！\nというのが今回の気付き！,在看到其他企划里出现的人们时想到的\n这就是这次发现！
2003013110330,めぐる,バラエティーもテレビに出るのも難しー！,无论是在综艺节目或者是在电视中出场都是很难的呢！
2003013110340,めぐる,ねぇねぇ、プロデューサー！\nまたこういうオファーあったら絶対やらせてね！,呐呐，制作人！\n如果还有这样的offer的话绝对要让我尝试哦！
2003013110350,めぐる,リベンジ！,要一雪前耻
info,produce_events/200301311.json,,
译者,,,Tencarcyan
