id,name,text,trans
3021016010010,雛菜,透先輩、おはよう～,透前辈，早上好～
3021016010020,透,おはよ,早上好
3021016010030,小糸,お、おはよう……！,早、早上好……！
3021016010040,透,おはよ,早上好
3021016010050,小糸,……円香ちゃんは、一緒じゃないの？,……圆香没和你一起吗？
3021016010060,透,え？\nいたよ、その辺,诶？\n在的啊，在那边
0000000000000,プレゼン番組の音声,『みなさんは、人生に何を求めますか？』,『大家对人生有什么追求呢？』
0000000000000,プレゼン番組の音声,『それを叶えるために、未来の自分へ投資をするなら？』,『为了实现这些目标，你会如何投资未来的自己呢？』
3021016010070,円香,……,……
3021016010080,透,樋口ー,樋口——
3021016010081,小糸＆雛菜,お、おはよう……！,早、早上好……！
3021016010090,円香,……,……
0000000000000,プレゼン番組の音声,『お金持ちになりたい』,『想成为有钱人』
0000000000000,プレゼン番組の音声,『有名になりたい』,『想变得有名』
0000000000000,プレゼン番組の音声,『結婚をして家庭を────』,『想结婚建立家庭────』
3021016010100,透,あ、きた,啊，来了
3021016010110,円香,……おはよ,……早上好
3021016010120,小糸,な、何か聴いてたよね……！\nごめんね、邪魔しちゃってたら……,你、你在听东西对吧……！\n抱歉，打扰到你了……
3021016010130,円香,邪魔されたくなかったら、来ないから,要是不想被打扰的话，我就不会过来
3021016010140,小糸,そ、そっか……！,这、这样啊……！
3021016010150,雛菜,何聴いてたの～？,所以刚在听什么～？
3021016010160,円香,プレゼン番組の動画\n授業までに聴かなきゃいけないやつ,演说节目的视频\n下节课上课前得看完
3021016010161,透＆雛菜,へー,诶——
3021016010170,円香,……浅倉もあるでしょ\n同じ課題,……浅仓你也是好吧\n同一道作业
3021016010180,透,え……\nあー,诶……\n啊——
3021016010190,円香,まあ……授業まで時間あるだろうし\nそれまでに聴いとけば？,哎……离上课前还有点时间\n在那之前看完呗？
3021016010200,透,んー,嗯——
3021016010210,雛菜,なんか大変そうだね～\n雛菜はコンビニでお菓子買ってくる～！,感觉好麻烦啊～\n雏菜去便利店买点零食～！
3021016010220,小糸,ひ、雛菜ちゃん\n待って……！,雏、雏菜\n等一下……！
0000000000000,プレゼン番組の音声,『みなさんは、人生に何を求めますか？』,『大家对人生有什么追求呢？』
0000000000000,プレゼン番組の音声,『それを叶えるために、未来の自分へ投資をするなら？』,『为了实现这些目标，你会如何投资未来的自己呢？』
0000000000000,プレゼン番組の音声,『お金持ちになりたい』,『想成为有钱人』
0000000000000,プレゼン番組の音声,『有名になりたい』,『想变得有名』
0000000000000,プレゼン番組の音声,『結婚をして家庭を築きたい』,『想结婚建立家庭』
0000000000000,プレゼン番組の音声,『人によって幸せの定義は様々ですが\n私の研究で……────』,『每个人对幸福的定义都不同\n根据我的研究……────』
0000000000000,上級生,──────ノクチル～～！,──────Noctchill～～！
0000000000000,上級生,ノクチル～～～～！,Noctchill～～～～！
3021016010230,小糸,……！,……！
3021016010240,円香,……すみません、プライベートなんで\nちょっと……,……不好意思，现在是私人时间\n不太方便……
0000000000000,上級生,はあ……はあ……っ\nおはよう、いや、違くて……っ,哈啊……哈啊……\n早上好，不对，那个……
0000000000000,上級生,お願いがあって……っ\nみんな、体育祭は出るよね？,我有个请求……\n大家，都会参加体育祭的吧？
3021016010250,透,体育祭？,体育祭？
3021016010260,小糸,ま、前に話したやつだよ……！,之、之前有提到过的……
3021016010270,小糸,みんなで集まって、\nスケジュールの確認した時に……,大家聚在一起，\n确认日程表的时候……
3021016010280,小糸,体育祭に出るから、お仕事は調整するって\n言ってた……,因为要参加体育祭，所以要调整工作安排……\n当时说过的……
3021016010290,透,あー\nうん,啊——\n嗯
3021016010300,透,じゃあ、出ます,那就参加吧
0000000000000,上級生,それじゃあ……！\n体育祭の参加種目を決めるの、これからだよね……？,那就……！\n要参加体育祭哪个项目，还没定下来对吧……？
0000000000000,上級生,部活対抗リレーに出てくれないかな……！,能不能来参加社团对抗接力赛呢……！
3021016010310,雛菜,へ～？,诶～？
3021016010320,透,帰宅部です\nうちら,回家部来着\n我们是
0000000000000,上級生,あーね、大丈夫！,啊——对，没关系的！
0000000000000,上級生,クラスの方が大事だったら\nあんまり無理強いはしたくないんだけど……,要是班级活动那边更重要的话\n我也不会勉强你们……
0000000000000,上級生,一応、全員が均等に参加できるように\nクラスで参加する種目数が少ない人の中から────,姑且，为了让每个人都能平等地参加\n从班级里参加项目较少的人中────
3021016010330,円香,バックボード係とか応援係とか、部活対抗リレーとかに\nそれぞれ参加することになるんですよね,像是背景板负责人或是啦啦队这些，都会派人\n去参加社团对抗接力赛是吧
0000000000000,上級生,そうそう！,对的对的！
3021016010340,円香,……,……
3021016010350,円香,……正直、モチベーションは高くないので\nあまりメリットはないと思いますよ,……说实话，本身就没太大动力\n所以我觉得参加了没什么好处
0000000000000,上級生,そ……それでも、やっぱり……\nノクチルなら……────,即、即便如此，我还是觉得……\nNoctchill的话……────
0000000000000,上級生,……あ！　ごめんね、引き止めて！\nでも……よかったら考えておいて……！,……啊！抱歉，耽误你们了！\n不过……如果可以的话还是请你们考虑一下……
0000000000000,上級生,頑張れば副賞もあるから……！,努力的话还会有附加奖项……
3021016010360,小糸,…………,…………
0000000000000,プレゼン番組の音声,『……私の研究でわかったことは』,『……通过研究，我发现……』
0000000000000,生徒１,体育祭で何やるかもう決めた？,你决定好体育祭要参加什么项目了吗？
0000000000000,生徒２,んーん、取り敢えずプレゼン聴くのに必死,嗯——、还没，现在拼老命在补演讲节目
0000000000000,生徒１,まだ聴いてないのかよ\n倍速で聴きなー,你还没看完啊\n倍速快进了啦——
0000000000000,プレゼン番組の音声,『幸せとは、人と人との繋がりのなかにあるということ』,『幸福在于人与人之间的联系』
0000000000000,プレゼン番組の音声,『お金持ちになっても、有名になっても────』,『即使当上了有钱人，又或是名声大振────』
3021016010370,円香,……,……
0000000000000,プレゼン番組の音声,『孤独を抱えていたら幸せではない』,『如果心中怀抱着孤独，便称不上幸福』
info,produce_events/302101601.json,,
译者,魚見,,
